"unit"
"http://www.ontology-of-units-of-measure.org/resource/om-2/gigagram"
"http://www.ontology-of-units-of-measure.org/resource/om-2/megagram"
"http://www.ontology-of-units-of-measure.org/resource/om-2/teragram"
