"flowobject","label"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_EDUC","Education services (80)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ELMA","Electrical machinery and apparatus n.e.c. (31)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWM","Electricity by Geothermal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWB","Electricity by biomass and waste"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWC","Electricity by coal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWG","Electricity by gas"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWH","Electricity by hydro"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWN","Electricity by nuclear"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWP","Electricity by petroleum and other oil derivatives"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWS","Electricity by solar photovoltaic"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWE","Electricity by solar thermal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWO","Electricity by tide; wave; ocean"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWW","Electricity by wind"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWZ","Electricity nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_27","Endrin"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ETHA","Ethane"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_EXTO","Extra-territorial organizations and bodies"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FABM","Fabricated metal products; except machinery and equipment (28)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FINT","Financial intermediation services; except insurance and pension funding services (65)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FISH","Fish and other fishing products; services incidental of fishing (05)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FSHP","Fish products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OFOD","Food products nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCF","Food waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANF","Food waste for treatment: landfill"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WASF","Food waste for treatment: waste water treatment"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_COMF","Food waste for treatment: composting and land application"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BIOF","Food waste for treatment: biogasification and land application"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_40","Formaldehyd"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_METC","Foundry work services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_42","Furans"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FURN","Furniture; other manufactured goods n.e.c. (36)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GCOK","Gas Coke"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MGWG","Gas Works Gas"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_DOIL","Gas/Diesel Oil"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GJET","Gasoline Type Jet Fuel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GLAS","Glass and glass products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_48","HCB"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_13","HCFCs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_32","HCH"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_4","HFCs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_HEAL","Health and social work services (85)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FOIL","Heavy Fuel Oil"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_28","Heptachlor"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_29","Hexabr.-biph."
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_60","Hg"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_16","Hg"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_HORE","Hotel and restaurant services (55)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_47","Indeno-[1,2,3-cd]-pyrene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANI","Inert/metal/hazardous waste for treatment: landfill"
