"activity","label"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FABM","Manufacture of fabricated metal products, except machinery and equipment (28)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FSHP","Manufacture of fish products"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_FURN","Manufacture of furniture; manufacturing n.e.c. (36)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MGWG","Manufacture of gas;"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_GLAS","Manufacture of glass and glass products"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MACH","Manufacture of machinery and equipment n.e.c. (29)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MEIN","Manufacture of medical, precision and optical instruments, watches and clocks (33)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MOTO","Manufacture of motor vehicles, trailers and semi-trailers (34)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OFMA","Manufacture of office machinery and computers (30)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OTRE","Manufacture of other transport equipment (35)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ONMM","Manufacture of other non-metallic mineral products n.e.c."
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RATV","Manufacture of radio, television and communication equipment and apparatus (32)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RUBP","Manufacture of rubber and plastic products (25)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TEXT","Manufacture of textiles (17)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TOBC","Manufacture of tobacco products (16)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_GARM","Manufacture of wearing apparel; dressing and dyeing of fur (18)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WOOD","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MANB","Manure treatment (biogas), storage and land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MANC","Manure treatment (conventional), storage and land application"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OMEA","Meat animals nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ALUO","Mining of aluminium ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_CHMF","Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COAL","Mining of coal and lignite; extraction of peat (10)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COPO","Mining of copper ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_IRON","Mining of iron ores"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_LZTO","Mining of lead, zinc and tin ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_NIKO","Mining of nickel ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ONFO","Mining of other non-ferrous metal ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PREO","Mining of precious metal ores and concentrates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ORAN","Mining of uranium and thorium ores (12)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_NFER","N-fertiliser"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OBUS","Other business activities (74)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TLND","Other land transport"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ONFM","Other non-ferrous metal production"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OSER","Other service activities (93)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PFER","P- and other fertiliser"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PAPE","Paper"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_REFN","Petroleum Refinery"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PIGS","Pigs farming"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PLAS","Plastics, basic"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PTEL","Post and telecommunications (64)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PLTR","Poultry farming"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PREM","Precious metals production"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PRHH","Private households with employed persons (95)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RICE","Processed rice"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_OFOD","Processing of Food products nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_DAIR","Processing of dairy products"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PCAT","Processing of meat cattle"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PPIG","Processing of meat pigs"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PPLT","Processing of meat poultry"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_NUCF","Processing of nuclear fuel"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_VOIL","Processing vegetable oils and fats"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWM","Production of electricity by Geothermal"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWB","Production of electricity by biomass and waste"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWC","Production of electricity by coal"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWG","Production of electricity by gas"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWH","Production of electricity by hydro"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWN","Production of electricity by nuclear"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWS","Production of electricity by solar photovoltaic"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWE","Production of electricity by solar thermal"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWO","Production of electricity by tide, wave, ocean"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWW","Production of electricity by wind"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWZ","Production of electricity nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWP","Production of electricity by petroleum and other oil derivatives"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POME","Production of meat products nec"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PADF","Public administration and defence; compulsory social security (75)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MDIA","Publishing, printing and reproduction of recorded media (22)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PULP","Pulp"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_SDCL","Quarrying of sand and clay"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_STON","Quarrying of stone"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MILK","Raw milk"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ASHW","Re-processing of ash into clinker"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ALUW","Re-processing of secondary aluminium into new aluminium"
